fecha,GEO_1,GEO_2,Distancia_Km,Tiempo_A
2019011936260,"4.7246682,-74.0241998","4.65556449,-74.07458744",15.914000000000001,1.23527777777778
2019091630910,"4.6511427,-74.1463712","4.7109886,-74.072092",14.868,0.26694444444444393
2019061835152,"4.71938952,-74.03346117","4.66880272,-74.07795599",9.14,0.9552777777777779
2019071223754,"4.75547918,-74.1156075","4.720736,-74.05435",12.27,2.26861111111111
2019110920498,"4.7246682,-74.0241998","4.65556449,-74.07458744",15.914000000000001,1.32583333333333
2019041121965,"4.76369306,-74.04134784","4.59915798,-74.09447948",21.168000000000003,1.86944444444444
2019050305573,"4.65576234,-74.07402148","4.6536963,-74.07649938",0.528,0.18444444444444397
2019082754736,"4.74405989,-74.03381181","4.7618235,-74.0650772",4.724,2.54944444444444
2019070611029,"4.65320635,-74.08426546","4.58818121,-74.13965394",12.040999999999999,0.946666666666667
2019021934691,"4.67441736,-74.06718334","4.76128532,-74.0665602",12.445,0.4491666666666671
2019062039114,"4.7451723,-74.02684192","4.68140601,-74.08629973",16.262999999999998,0.6727777777777779
2019050510311,"4.737965,-74.08724309","4.6189642,-74.145144",17.525,1.2188888888888898
2019122365284,"4.65995191,-74.07821174","4.70566075,-74.09911161",7.859,1.21472222222222
2019060101005,"4.59618185,-74.11000756","4.65601861,-74.07312107",8.642000000000001,1.53444444444444
2019061529458,"4.66367763,-74.10095867","4.66295925,-74.07396702",8.014,0.4383333333333329
2019070304688,"4.6710341,-74.1157597","4.62394932,-74.10242716",7.224,0.4625
2019030611220,"4.72597017,-74.08800139","4.644632,-74.1107869",12.82,0.5411111111111111
2019070406531,"4.5934805,-74.0947429","4.60550796,-74.12602565",5.07,0.82
2019062040068,"4.69902879,-74.07333093","4.7109886,-74.072092",2.063,1.75694444444444
2019050510007,"4.63575498,-74.05979148","4.65695934,-74.04838066",3.477,1.0475
2019052448910,"4.72587864392291,-74.0724061018524","4.7109886,-74.072092",1.805,0.725
2019020712869,"4.76204194386334,-74.0927259251475","4.7157655,-74.115805",9.847999999999999,1.32083333333333
2019040407320,"4.6656693,-74.06343289","4.7109886,-74.072092",7.558,0.46222222222222203
2019092551247,"4.62633439,-74.15571034","4.6121191,-74.21249938",8.972000000000001,0.374722222222222
2019060304522,"4.6056728,-74.0555255","4.59398864,-74.08684884",5.1579999999999995,0.20416666666666697
2019083163366,"4.76369306,-74.04134784","4.59915798,-74.09447948",21.168000000000003,1.3986111111111101
2019051020790,"4.69345534,-74.03383794","4.693494,-74.06373192",5.483,1.6058333333333301
2019022544486,"4.68494814,-74.0450802","4.68912854,-74.0513668",1.249,1.02527777777778
2019052856372,"4.65862074,-74.13242363","4.67274357,-74.11484096",5.038,0.34861111111111104
2019042344614,"4.5847138,-74.1305175","4.62437181,-74.09769912",8.171,0.783055555555556
2019062857773,"4.64491,-74.111197","4.6947923,-74.0864632",8.054,0.457777777777778
2019103169479,"4.6798406,-74.0496343","4.7172742,-74.0661565",7.107,2.02638888888889
2019112553139,"4.58789548,-74.11007144","4.65743356,-74.07620785",9.822000000000001,0.905
2019062753581,"4.72300748,-74.03596008","4.6689561,-74.06585811",9.311,1.80583333333333
2019042344359,"4.6731708,-74.0432714","4.71553331,-74.0638301",8.396,0.0477777777777778
2019022545252,"4.67187146097602,-74.0706976882838","4.6841381,-74.1012386",4.775,0.504722222222222
2019020407464,"4.65451975,-74.09990417","4.7109886,-74.072092",9.507,0.661388888888889
2019022545578,"4.75292527,-74.10312141","4.60581709,-74.10413783",20.618000000000002,0.904444444444444
2019041530169,"4.70857872,-74.05959013","4.62196228,-74.07847594",12.03,0.358888888888889
2019070407187,"4.65118057,-74.07266476","4.69368438,-74.07618718",10.029,0.696666666666667
2019040508353,"4.72921096,-74.04734738","4.6619852,-74.1088076",13.489,2.14194444444444
2019090713225,"4.6165239,-74.1533192","4.5980142,-74.0760187",11.088,1.47194444444444
2019063063055,"4.6825973,-74.0984112","4.69819816,-74.07546155",4.937,0.7133333333333329
2019092550057,"4.64745663,-74.14545027","4.6760977,-74.0872043",11.492,1.6361111111111102
2019020611320,"4.7109886,-74.072092","4.65556449,-74.07458744",7.811,1.01
2019120509143,"4.6640072,-74.1103916","4.7109886,-74.072092",8.8,0.620277777777778
2019070814765,"4.73790064,-74.03719573","4.74185995,-74.04175792",1.23,0.328611111111111
2019121437351,"4.63178166,-74.13263482","4.61804948,-74.10765352",6.226,1.27277777777778
2019062549885,"4.74398971,-74.06472802","4.69480213,-74.07426172",8.017999999999999,1.45944444444444
2019100100236,"4.65750521,-74.05955612","4.68879281,-74.08801525",6.642,2.52444444444444
2019091937813,"4.67278143,-74.12747595","4.67945454,-74.11888287",1.865,1.00388888888889
2019050713773,"4.6877837,-74.0584805","4.661805,-74.12615586",11.99,1.26833333333333
