Country,GDP_Latest,Industrial Product,CPI,Unemployment,current_account,budget balance,short rates,long rates
United States,2.3,-5.5,1.5,4.4,-2.1,-12.3,1.11,0.65
China,-6.8,-1.1,4.3,3.6,1.8,-5.5,1.39,2
Japan,-0.7,-5.7,0.5,2.4,3.2,-5.4,0,0
Britain,1.1,-2.8,1.7,3.9,-2.2,-14.8,0.66,0.34
Canada,1.5,-0.8,2.2,7.8,-3.7,-4.2,0.62,0.65
Euro area,1,-1.9,0.7,7.3,1.6,-5.8,0,0
Austria,1,1.2,1.6,4.4,0.1,-5.5,0,0.01
Belgium,1.2,11.7,0.6,5.2,-1.7,-5.6,0,0.09
Finland,0.5,-0.2,0.6,6.9,-1.5,-5.8,0,0
France,0.9,-1.4,0.7,8.1,-1,-5.6,0,0.1
Germany,0.5,-1.2,1.4,3.2,5.2,-5.2,0,0
Greece,0.5,-3.4,0,16.4,-2.9,-5.2,0,2.14
Ireland,6.2,-1.3,0.7,5.4,1.2,-9.1,0,0.19
Italy,0.1,-2.4,0.1,9.7,1.3,-7,0,1.85
Netherlands,1.6,-1.3,1.4,3.8,4.5,-5,0,0
Portugal,2.2,1,0,6.7,-2,-5.5,0,0.99
Slovakia,2,-1.6,2.3,5.1,-4.9,-9.4,0,0.43
Spain,1.8,0.2,0,13.6,0.8,-7.3,0,0.82
Czech Republic,1.8,-0.9,3.4,2,0.3,-0.2,0.97,1.34
Denmark,2.2,-1.2,0.4,3.7,5.3,-5,0,0
Hungary,4.5,1.6,3.9,3.5,-2.8,-5.8,1.09,2.36
Norway,1.8,11.7,0.7,3.8,6.7,-2.5,0,0.72
Poland,3.6,4.8,4.6,5.5,-1.2,-4.7,0.5,1.43
Russia,2.1,3.3,2.5,4.6,1.2,-2.7,6.32,6.4
Sweden,0.8,-1.2,0.6,8.2,2.9,-2.7,0.32,0
Switzerland,1.5,1.6,-0.5,2.8,6.3,-4,0,0
Turkey,6,10.5,11.9,13.8,-2.9,-4.5,9.47,13
Australia,2.2,3.8,1.8,5.2,-1.1,-4.8,0.7,0.86
Hong Kong,-2.9,-0.5,2.2,3.7,1.5,-3.6,1.88,0.75
India,4.7,4.5,5.9,8.5,-0.3,-5.1,3.9,6.35
Indonesia,5,2,3,5.3,-0.7,-5.4,4.9,7.86
Malaysia,3.6,5.8,1.3,3.3,3.3,-6.2,2.72,3.03
New Zealand,1.6,0.4,2.5,4,-3.4,-1,0.38,0.98
Philippines,6.7,3,2.5,5.3,-0.7,-7.5,3.27,3.99
Singapore,-2.2,-1.1,0.3,2.3,19.1,-6.1,0.99,1.04
South Korea,2.3,11.4,1,4.2,6.2,-3.7,1.03,1.44
Thailand,1.6,-5.2,-0.5,1.1,4.8,-6.5,1.14,1.11
Vietnam,7,5.4,4.9,2.22018,1.5,-3.1,4.7,3.25
Argentina,-1.1,2.1,48.4,8.9,0.4,-6.1,19,25
Brazil,1.7,-0.5,3.3,11.6,-1.9,-12,5.07,3.07
Chile,-2.1,5.6,3.7,7.8,-5.4,-7.1,0.24,3.15
Colombia,3.4,4.6,3.8,12.2,-5.2,-5.4,4.52,6.55
Mexico,-0.5,-1.9,3.2,3.7,-2,-4.2,6.61,6.89
Peru,1.8,-2.5,1.8,7.6,-3.1,-11.5,2.64,4.26
Israel,3.8,7.9,0,3.4,3.5,-11,0.04,0.73
South Africa,-0.5,-2.1,4.5,29.1,-2.5,-10.3,4.6,10
