,name,view,date,duration
0,Adele - I Drink Wine (Live at The BRIT Awards 2022),"7,008,084 vistas",hace 3 semanas,5:14
1,Adele - Oh My God (Official Video),"51,461,749 vistas",hace 1 mes,3:53
2,Adele - Easy On Me (Live at the NRJ Awards 2021),"64,506,969 vistas",hace 3 meses,3:48
3,Adele - All Night Parking (with Erroll Garner) Interlude (Official Lyric Video),"3,602,988 vistas",hace 3 meses,2:43
4,Adele - My Little Love (Official Lyric Video),"10,986,996 vistas",hace 3 meses,6:30
5,Adele - To Be Loved (Official Lyric Video),"19,843,531 vistas",hace 3 meses,6:45
6,Adele - Can I Get It (Official Lyric Video),"4,779,864 vistas",hace 3 meses,3:32
7,Adele - Easy On Me (Official Lyric Video),"99,849,105 vistas",hace 3 meses,3:46
8,Adele - Hold On (Official Lyric Video),"7,218,831 vistas",hace 3 meses,6:07
9,Adele - Love Is A Game (Official Lyric Video),"6,183,709 vistas",hace 3 meses,6:44
10,Adele - Woman Like Me (Official Lyric Video),"4,606,098 vistas",hace 3 meses,5:01
11,Adele - Strangers By Nature (Official Lyric Video),"4,955,313 vistas",hace 3 meses,3:03
12,Adele - Oh My God (Official Lyric Video),"17,628,792 vistas",hace 3 meses,3:46
13,Adele - I Drink Wine (Official Lyric Video),"12,876,756 vistas",hace 3 meses,6:18
14,Adele - Cry Your Heart Out (Official Lyric Video),"3,845,253 vistas",hace 3 meses,4:17
15,Adele - To Be Loved,"7,718,853 vistas",hace 3 meses,6:13
16,Adele - Easy On Me (Official Bloopers Version),"3,954,051 vistas",hace 3 meses,1:57
17,Adele - Easy On Me (Official Video),"249,896,860 vistas",hace 4 meses,5:32
18,Adele - Easy On Me (Clip),"18,921,189 vistas",hace 4 meses,0:22
19,Adele - Don't You Remember (Live on Letterman),"1,748,221 vistas",hace 1 año,4:10
20,Adele - Send My Love (To Your New Lover),"791,462,926 vistas",hace 5 años,3:45
21,Adele - When We Were Young - Live at The BRIT Awards 2016,"59,944,595 vistas",hace 6 años,4:44
22,Adele - When We Were Young (Live on SNL),"39,148,275 vistas",hace 6 años,4:54
23,Adele - When We Were Young (Live at The Church Studios),"623,398,574 vistas",hace 6 años,5:43
24,Adele - Hello (Live at the NRJ Awards),"100,847,762 vistas",hace 6 años,5:08
25,Adele - Hello,"2,953,722,932 vistas",hace 6 años,6:07
26,Adele - Skyfall (Lyric Video),"479,399,554 vistas",hace 9 años,4:50
27,Adele - Turning Tables (Live at The Royal Albert Hall),"91,292,886 vistas",hace 10 años,4:05
28,Adele - Set Fire To The Rain (Live at The Royal Albert Hall),"695,308,626 vistas",hace 10 años,3:59
29,Adele - Someone Like You (Official Music Video),"1,837,788,622 vistas",hace 10 años,4:45
30,Adele - Someone Like You (Live on Letterman),"19,999,913 vistas",hace 10 años,5:24
31,Adele - Lovesong (Live on Letterman),"11,910,518 vistas",hace 10 años,4:57
32,Adele - Rolling In The Deep (Live on Letterman),"6,357,969 vistas",hace 10 años,4:02
33,Adele - Turning Tables (Live on Letterman),"7,502,965 vistas",hace 10 años,4:31
34,Adele - Chasing Pavements (Live on Letterman),"1,826,011 vistas",hace 10 años,3:44
35,Adele - Don't You Remember (Live on Letterman),"6,518,469 vistas",hace 10 años,4:10
36,Adele - Make You Feel My Love (Live on Letterman),"59,084,479 vistas",hace 10 años,4:10
37,Adele - Hometown Glory (Live on Letterman),"4,877,268 vistas",hace 10 años,4:05
38,Adele - Don't You Remember (Live at Largo),"112,451,555 vistas",hace 11 años,4:16
39,Adele - Adele's 21: The Inspiration - Part 4,"1,438,985 vistas",hace 11 años,4:03
40,Adele - Someone Like You (Live at Largo),"50,125,179 vistas",hace 11 años,5:13
41,Adele - Adele's 21: The Inspiration - Part 3,"1,481,773 vistas",hace 11 años,3:04
42,Adele - Turning Tables (Live at Largo),"20,656,477 vistas",hace 11 años,4:21
43,Adele - Adele's 21: The Inspiration - Part 2,"1,769,270 vistas",hace 11 años,4:00
44,Adele - Adele's 21: The Inspiration - Part 1,"1,484,063 vistas",hace 11 años,2:38
45,Adele - Someone Like You (Live in Her Home),"114,317,286 vistas",hace 11 años,6:29
46,Adele - Rolling In The Deep (Live at Largo),"6,583,396 vistas",hace 11 años,4:08
47,Adele - ASK:REPLY,"1,971,505 vistas",hace 11 años,5:14
48,Adele - Rolling in the Deep (Official Music Video),"1,989,666,210 vistas",hace 11 años,3:54
49,Adele - Chasing Pavements,"177,166,180 vistas",hace 12 años,3:41
50,Adele - Hometown Glory,"117,988,683 vistas",hace 12 años,3:36
